time,open,high,low,close,tick_volume,spread,real_volume,returns
2025-11-12 10:00:00,4116.94,4132.61,4112.07,4131.21,10231,32,0,0.0034734788955794738
2025-11-12 11:00:00,4131.19,4133.45,4120.51,4124.55,9855,32,0,-0.0016121184834466673
2025-11-12 12:00:00,4124.57,4129.26,4117.94,4127.7,8780,32,0,0.0007637196785101885
2025-11-12 13:00:00,4127.71,4131.13,4123.03,4125.99,8534,32,0,-0.00041427429318996456
2025-11-12 14:00:00,4125.87,4139.4,4124.88,4130.14,11289,32,0,0.0010058192094504204
2025-11-12 15:00:00,4130.16,4132.56,4122.7,4126.99,13003,32,0,-0.0007626860106438871
2025-11-12 16:00:00,4127.05,4140.0,4124.91,4136.59,17839,32,0,0.0023261505358627144
2025-11-12 17:00:00,4136.56,4185.41,4134.55,4181.32,22459,32,0,0.010813254395528604
2025-11-12 18:00:00,4181.31,4197.65,4180.12,4196.34,19511,32,0,0.0035921670668592753
2025-11-12 19:00:00,4196.38,4206.44,4192.34,4199.43,17539,32,0,0.0007363559673430053
2025-11-12 20:00:00,4199.47,4211.61,4190.41,4206.75,15455,32,0,0.001743093705574239
2025-11-12 21:00:00,4206.79,4210.1,4192.06,4197.27,15444,32,0,-0.0022535211267604716
2025-11-12 22:00:00,4197.29,4199.64,4190.54,4195.83,12901,32,0,-0.00034308014495143535
2025-11-12 23:00:00,4195.79,4202.04,4190.93,4194.99,4232,36,0,-0.00020019876877763743
2025-11-13 01:00:00,4195.01,4208.37,4187.04,4190.92,6602,34,0,-0.0009702049349342712
2025-11-13 02:00:00,4190.96,4208.83,4186.11,4205.74,10908,34,0,0.003536216391627489
2025-11-13 03:00:00,4205.8,4209.14,4179.83,4192.26,17608,34,0,-0.003205143446813108
2025-11-13 04:00:00,4192.21,4195.89,4183.41,4190.05,11497,34,0,-0.0005271619603746114
2025-11-13 05:00:00,4190.02,4213.09,4190.02,4212.86,10787,34,0,0.005443849118745403
2025-11-13 06:00:00,4212.78,4219.32,4203.26,4209.26,10435,34,0,-0.0008545263787544943
2025-11-13 07:00:00,4209.25,4217.57,4207.36,4211.94,12544,34,0,0.0006366914849640359
2025-11-13 08:00:00,4211.84,4211.98,4203.27,4210.28,10570,34,0,-0.00039411767499053507
2025-11-13 09:00:00,4210.29,4219.99,4208.27,4219.82,9823,32,0,0.002265882554129517
2025-11-13 10:00:00,4219.83,4239.38,4219.0,4232.78,12255,32,0,0.0030712210473433643
2025-11-13 11:00:00,4232.38,4239.35,4224.91,4232.95,9977,32,0,4.0162729931569885e-05
2025-11-13 12:00:00,4232.96,4239.98,4221.71,4225.39,9865,32,0,-0.0017859884950210958
2025-11-13 13:00:00,4225.45,4232.16,4219.27,4230.48,10741,32,0,0.0012046225318844694
2025-11-13 14:00:00,4230.4,4244.88,4229.94,4242.43,9598,32,0,0.0028247385639457168
2025-11-13 15:00:00,4242.39,4243.79,4220.24,4231.76,17255,32,0,-0.0025150680152647986
2025-11-13 16:00:00,4231.95,4232.36,4184.31,4195.42,22039,32,0,-0.008587443522316995
2025-11-13 17:00:00,4195.15,4205.0,4186.63,4202.53,21318,32,0,0.001694705178504119
2025-11-13 18:00:00,4202.49,4210.73,4195.68,4206.74,17812,32,0,0.0010017775006960772
2025-11-13 19:00:00,4206.46,4208.31,4193.14,4201.65,17090,32,0,-0.0012099630592811161
2025-11-13 20:00:00,4201.68,4203.18,4145.34,4157.77,19426,33,0,-0.010443516237668371
2025-11-13 21:00:00,4157.71,4170.44,4145.66,4163.82,16831,33,0,0.0014551069443473619
2025-11-13 22:00:00,4163.58,4170.63,4160.22,4163.88,13560,32,0,1.4409844806051453e-05
2025-11-13 23:00:00,4163.91,4181.0,4161.02,4171.55,5214,36,0,0.001842031950968881
2025-11-14 01:00:00,4170.58,4186.36,4170.03,4185.72,6599,34,0,0.0033968189282160832
2025-11-14 02:00:00,4185.79,4189.71,4178.17,4183.78,9054,34,0,-0.00046348059593104285
2025-11-14 03:00:00,4183.16,4193.58,4173.56,4189.93,15657,34,0,0.0014699625697336405
2025-11-14 04:00:00,4189.9,4210.18,4188.42,4206.89,12618,34,0,0.00404780032124652
2025-11-14 05:00:00,4207.03,4211.11,4201.29,4204.32,10396,34,0,-0.0006109025907500287
2025-11-14 06:00:00,4204.27,4205.74,4196.78,4203.19,7825,34,0,-0.00026877116870271944
2025-11-14 07:00:00,4203.37,4203.56,4183.9,4189.75,12077,34,0,-0.0031975713684129214
2025-11-14 08:00:00,4189.8,4193.29,4169.31,4175.15,11949,34,0,-0.0034846947908587778
2025-11-14 09:00:00,4175.08,4182.2,4158.92,4180.98,13460,32,0,0.001396357017113159
2025-11-14 10:00:00,4180.23,4186.84,4170.01,4175.95,13777,32,0,-0.0012030672234738526
2025-11-14 11:00:00,4175.94,4180.34,4166.49,4169.18,12861,32,0,-0.0016211879931511408
2025-11-14 12:00:00,4169.2,4170.72,4159.37,4167.76,10469,32,0,-0.0003405945533654364
2025-11-14 13:00:00,4167.78,4169.9,4130.78,4132.93,14835,32,0,-0.008357007121331361
2025-11-14 14:00:00,4132.84,4140.5,4107.5,4115.97,19566,32,0,-0.004103626240947733
2025-11-14 15:00:00,4115.99,4118.91,4041.21,4055.82,25023,32,0,-0.014613809138550593
2025-11-14 16:00:00,4055.77,4083.95,4032.16,4082.63,24851,32,0,0.006610253906731645
